conditionID,campaignID,raceTextShown,imageShown,feedbackShown,turkMaster,blockID,turkID,turkAge,turkGender,turkRace,turkEducation,turkScore,turkDuration,turkFactor1,turkFactor2,turkFactor3,turkFactor4,turkFactor5,turkFactor6,turkFactor7,turkFactor8,turkFactor9,imageID,questionNum,defID,turkResponse,compasScore,groundTruth,defEthnicity,defGender,defAge,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, WF-002,q01,6064,0,2,0,1,1,31,0,0,0,45,0
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BF-224,q02,8938,0,5,0,2,1,48,0,0,0,45,0
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, WM-023,q03,4767,1,2,0,1,0,39,0,0,3,306,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BF-211,q04,61,1,2,0,2,1,51,0,0,7,306,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, WM-002,q05,9924,1,3,1,1,0,29,0,0,0,15,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BM-012,q06,10406,1,7,0,2,0,43,0,0,2,306,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BF-027,q07,10452,1,1,0,2,1,44,0,0,0,379,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BF-202,q08,8104,1,6,0,2,1,42,0,0,16,336,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, BM-001,q09,2719,1,4,1,2,0,23,0,0,1,167,1
4,p4,0,0,0,0,1,A17OINLIDZ0C14,1,1,1,2,29,439,7,5,6,9,8,4,3,2,1, WM-003,q10,4766,1,9,1,1,0,26,0,0,2,190,1
